Name_phone,Id_comment,Name_comment,Buy_place_comment,Content_comment,Used_comment
iPhone 14 Pro Max,r-53249295,PHUC,Đã mua tại TGDD,Máy tốt,Đã dùng khoảng 1 tháng
iPhone 14 Pro Max,r-53247700,THANH,Đã mua tại TGDD,Máy sử dụng ok,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53247652,TH O,Đã mua tại TGDD,"Cám ơn TGDĐ đã cho tôi được hưởng suất mua ưu đãi, nhờ vậy tôi mới có thể trải nghiệm iphone14 tuyệt vời như vậy.",Đã dùng khoảng 1 tháng
iPhone 14 Pro Max,r-53246950,MINH,Đã mua tại TGDD,Tuyệt vời,Đã dùng khoảng 1 tháng
iPhone 14 Pro Max,r-53246711,DUY,Đã mua tại TGDD,Oke,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53246531,LINH,Đã mua tại TGDD,Ok,Đã dùng khoảng 1 tháng
iPhone 14 Pro Max,r-53246344,ROY,Đã mua tại DMX,mới toanh,Đã dùng khoảng 3 tuần
iPhone 14 Pro Max,r-53246141,ANH,Đã mua tại DMX,Tốt,Đã dùng khoảng 3 tuần
iPhone 14 Pro Max,r-53246083,CUONG,Đã mua tại TGDD,"Tốt lắm,nhiệt tình",Đã dùng khoảng 2 tuần
iPhone 14 Pro Max,r-53246010,LAN,Đã mua tại DMX,"Tôi rất thích cách phục vụ của bạn,thân thiện vui vẻ nhiệt tình",Đã dùng khoảng 1 tháng
iPhone 14 Pro Max,r-53245774,SUA,Đã mua tại TGDD,Quá tuyệt vời.nv phục vụ rất tốt chu đáo.aex ủng hộ tiếp,Đã dùng khoảng 2 tuần
iPhone 14 Pro Max,r-53245754,NAM,Đã mua tại DMX,"Sản phẩm tốt,giao hàng nhanh",Đã dùng khoảng 2 tuần
iPhone 14 Pro Max,r-53245689,MANH,Đã mua tại DMX,Ok,Đã dùng khoảng 1 tháng
iPhone 14 Pro Max,r-53245584,HUY,Đã mua tại DMX,Rất tốt,Đã dùng khoảng 1 tháng
iPhone 14 Pro Max,r-53245466,MI,Đã mua tại DMX,Hài lòng ❤️,Đã dùng khoảng 1 tháng
iPhone 14 Pro Max,r-53245422,MINH,Đã mua tại TGDD,Tốt,Đã dùng khoảng 1 tháng
iPhone 14 Pro Max,r-53245398,AN,Đã mua tại TGDD,ngon,Đã dùng khoảng 1 tháng
iPhone 14 Pro Max,r-53245284,PHONG,Đã mua tại DMX,Rất tốt,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53245270,ANH,Đã mua tại DMX,Sản phẩm đẹp- mượt,Đã dùng khoảng 1 tháng
iPhone 14 Pro Max,r-53245253,GIANG,Đã mua tại TGDD,iPhone 14 pro max rất tốt,Đã dùng khoảng 2 tuần
iPhone 14 Pro Max,r-53245245,MAITHICO,Đã mua tại DMX,Máy tốt,Đã dùng khoảng 1 tháng
iPhone 14 Pro Max,r-53245244,GIANG,Đã mua tại TGDD,Máy đẹp,Đã dùng khoảng 1 tháng
iPhone 14 Pro Max,r-53245222,AN,Đã mua tại DMX,Hàng tốt,Đã dùng khoảng 1 tháng
iPhone 14 Pro Max,r-53245221,DUC,Đã mua tại TGDD,dùng được,Đã dùng khoảng 1 tháng
iPhone 14 Pro Max,r-53245220,Nguyên Béo,Đã mua tại DMX,Sp oki. Dùng mượt. Cám ơn TGDD hỗ trợ cho nhận sớm.,Đã dùng khoảng 3 tuần
iPhone 14 Pro Max,r-53245218,KHA,Đã mua tại DMX,Rất tốt,Đã dùng khoảng 1 tháng
iPhone 14 Pro Max,r-53245212,HOME,Đã mua tại TGDD,Good,Đã dùng khoảng 3 tuần
iPhone 14 Pro Max,r-53245210,LINH,Đã mua tại TGDD,Chinh tư vấn rất tốt,Đã dùng khoảng 1 tháng
iPhone 14 Pro Max,r-53245206,MAI,Đã mua tại TGDD,"Máy chất lượng, giá tốt, bảo hành ok",Đã dùng khoảng 2 tuần
iPhone 14 Pro Max,r-53245202,HUYÊN,Đã mua tại TGDD,Rất tuyệt,Đã dùng khoảng 2 tuần
iPhone 14 Pro Max,r-53245199,MAI,Đã mua tại DMX,Tốt nv nhiệt tình,Đã dùng khoảng 3 tuần
iPhone 14 Pro Max,r-53245198,MINH,Đã mua tại DMX,sản phẩm tốt .,Đã dùng khoảng 1 tháng
iPhone 14 Pro Max,r-53245182,LUAN,Đã mua tại TGDD,So dùng rất oke.máy ngon,Đã dùng khoảng 3 tuần
iPhone 14 Pro Max,r-53245180,ĐÀO,Đã mua tại DMX,Ok,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53245166,MINH,Đã mua tại DMX,Tốt,Đã dùng khoảng 1 tháng
iPhone 14 Pro Max,r-53202051,NA,Đã mua tại DMX,Sản phẩm tốt nhân viên nhiệt tình,Đã dùng khoảng 1 tháng
iPhone 14 Pro Max,r-53197257,Nguyễn Phúc Thịnh,Đã mua tại TGDD,Máy nghe gọi tốt !,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53177758,Phạm Hữu Tuyền,Đã mua tại DMX,Máy đẹp,Đã dùng khoảng 2 tuần
iPhone 14 Pro Max,r-53150638,HUY,Đã mua tại TGDD,Máy sử dụng rất tốt,Đã dùng khoảng 1 ngày
iPhone 14 Pro Max,r-53111218,Đặng Trung Nghĩa,Đã mua tại TGDD,"Màu chỉ đẹp khi đủ sáng, mình thấy màu vàng vẫn đẹp so màu tím Hiệu năng thì tốt. Đi kèm 3 viên trân châu bao nữa thì tuyệt với.",Đã dùng khoảng 1 ngày
iPhone 14 Pro Max,r-53099545,Châu Vân,Đã mua tại TGDD,"Cảm ơn Nhân viên TGDD hổ trợ rất nhiệt tình. Mình đã mua được iPhone 14 Promax với sự hổ trợ nhiệt tình của bên cửa hàng 98 Hùng Vương, Tân An, Long An❤️",Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53087794,Ngô Đức Hải Bình,Đã mua tại TGDD,Tôi đã mua ở tgdd hơn 10 năm. Nói về CSKH của tgdd thì khỏi phải bàn. Rất tuyệt,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53040933,NAM,Đã mua tại TGDD,Tốt,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53040899,LUẬT,Đã mua tại TGDD,Sản phẩm tốt đáng để mua,Đã dùng khoảng 3 tuần
iPhone 14 Pro Max,r-53040815,CHINH,Đã mua tại TGDD,Very Good,Đã dùng khoảng 2 tuần
iPhone 14 Pro Max,r-53023147,PHÚC,Đã mua tại DMX,Ok duyệt,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53007557,HAI,Đã mua tại TGDD,rất hài lòng,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53007264,KHẢI,Đã mua tại DMX,Camera rất xịnn,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53003305,NHẤT,Đã mua tại DMX,OK,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53003124,BÌNH,Đã mua tại DMX,Oke,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53002701,DƯƠNG,Đã mua tại DMX,"Ảnh chụp siêu đẹp, trải nghiệm tốt xứng đáng 10đ",Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53002514,VŨ,Đã mua tại TGDD,Ok,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53002140,TUẤN,Đã mua tại DMX,Tốt,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53002136,DUNG,Đã mua tại TGDD,Rất tốt,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53002132,BỬU,Đã mua tại TGDD,Rất ok,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53001958,TUYẾT,Đã mua tại DMX,Rất tốt,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53001814,CHI,Đã mua tại DMX,"Siêu phẩm nhà Táo xịn xò, giao Pre nhanh, giá ngon",Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53001782,LẠC,Đã mua tại DMX,Tốt,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53001772,SANG,Đã mua tại TGDD,Quá ok,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53001767,THY,Đã mua tại TGDD,Máy tốt. Nhân viên nhiệt tình,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53001736,GIANG,Đã mua tại TGDD,Cskh rất tốt,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53001731,PHUONG,Đã mua tại TGDD,Ok,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-52977778,CƯỜNG,Đã mua tại DMX,Phục vụ rất tốt,Đã dùng khoảng 2 tuần
iPhone 14 Pro Max,r-52975837,VINA,Đã mua tại TGDD,Rất hài lòng,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-52968923,HUY,Đã mua tại TGDD,Rất tốt !!!,Đã dùng khoảng 3 tháng
iPhone 14 Pro Max,r-53652565,Đào Trọng Điều,Đã mua tại DMX,,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53620269,HOÀNG,Đã mua tại DMX,,Đã dùng khoảng 3 tuần
iPhone 14 Pro Max,r-53348670,Nguyễn Thị Thu Nga,Đã mua tại TGDD,,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53317743,DUY,Đã mua tại TGDD,,Đã dùng khoảng 1 tháng
iPhone 14 Pro Max,r-53282727,PH NG,Đã mua tại TGDD,,Đã dùng khoảng 1 tháng
iPhone 14 Pro Max,r-53268437,HIỂN,Đã mua tại TGDD,,Đã dùng khoảng 1 tháng
iPhone 14 Pro Max,r-53250215,NGA,Đã mua tại DMX,,Đã dùng khoảng 1 tháng
iPhone 14 Pro Max,r-53249508,TRINH,Đã mua tại TGDD,,Đã dùng khoảng 1 tháng
iPhone 14 Pro Max,r-53249317,MINH,Đã mua tại DMX,,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53249317,MINH,Đã mua tại DMX,,Đã dùng khoảng 1 tháng
iPhone 14 Pro Max,r-53248444,HÙNG,Đã mua tại TGDD,Tốt,Đã dùng khoảng 3 tuần
iPhone 14 Pro Max,r-53248015,PHƯỚC,Đã mua tại TGDD,,Đã dùng khoảng 1 tháng
iPhone 14 Pro Max,r-53247249,VINA,Đã mua tại TGDD,Rt,Đã dùng khoảng 2 tuần
iPhone 14 Pro Max,r-53246165,ANH,Đã mua tại DMX,,Đã dùng khoảng 1 tháng
iPhone 14 Pro Max,r-53245615,QUANG,Đã mua tại DMX,,Đã dùng khoảng 3 tuần
iPhone 14 Pro Max,r-53245298,DINH,Đã mua tại DMX,,Đã dùng khoảng 2 tuần
iPhone 14 Pro Max,r-53245211,GROUP,Đã mua tại TGDD,,Đã dùng khoảng 1 tháng
iPhone 14 Pro Max,r-53245205,HUE,Đã mua tại DMX,,Đã dùng khoảng 1 tháng
iPhone 14 Pro Max,r-53245187,HTL,Đã mua tại TGDD,,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53245185,NG,Đã mua tại DMX,,Đã dùng khoảng 1 ngày
iPhone 14 Pro Max,r-53202101,NGUYỄN THÀNH TRUNG,Đã mua tại TGDD,,Đã dùng khoảng 4 tuần
iPhone 14 Pro Max,r-53092759,Hồ Văn Nâng,Đã mua tại TGDD,,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53060631,MINH,Đã mua tại DMX,,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53028344,LÀNH,Đã mua tại DMX,,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53002348,OANH,Đã mua tại TGDD,Nhân viên tư vấn nhiệt tình v sản phẩm rất tốt,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53002165,ĐẠM,Đã mua tại TGDD,,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53001774,HUYỀN,Đã mua tại TGDD,,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53001766,TRƯỜNG,Đã mua tại TGDD,,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-52976070,TRINH,Đã mua tại TGDD,,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-52960960,VINH,Đã mua tại TGDD,,Đã dùng khoảng 1 tháng
iPhone 14 Pro Max,r-52920959,PHAN THỊ TRANG,Đã mua tại TGDD,,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53632746,Trần Thị Vy,Đã mua tại DMX,"Máy sử dụng tốt,tốt nhất trong các loại máy chị sứ dụng . Chị cảm thấy rất hài lòng .",Đã dùng khoảng 1 ngày
iPhone 14 Pro Max,r-53569541,Nguyễn Mạnh Dương,Đã mua tại TGDD,"Pin trâu, máy mát",Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53561650,Đức Vũ,Đã mua tại TGDD,"máy ok, chăm sóc tốt. sẽ còn mua hàng.",Đã dùng khoảng 1 ngày
iPhone 14 Pro Max,r-53529347,Anh Dương,Đã mua tại TGDD,Good,Đã dùng khoảng 1 tháng
iPhone 14 Pro Max,r-53480747,Văn,Đã mua tại TGDD,cay quá nay nhận sáng ngày hôm sau giảm luôn 1tr,Đã dùng khoảng 1 tháng
iPhone 14 Pro Max,r-53340683,PLUS,Đã mua tại DMX,Dùng ok. Rat thích,Đã dùng khoảng 3 tuần
iPhone 14 Pro Max,r-53315557,KHA,Đã mua tại TGDD,Dùng ok,Đã dùng khoảng 1 tháng
iPhone 14 Pro Max,r-53270418,HONG,Đã mua tại DMX,Oke,Đã dùng khoảng 1 tháng
iPhone 14 Pro Max,r-53247039,ANH,Đã mua tại DMX,Dùng cũng dc,Đã dùng khoảng 1 tháng
iPhone 14 Pro Max,r-53246884,TÙNG,Đã mua tại TGDD,Tốt,Đã dùng khoảng 1 tháng
iPhone 14 Pro Max,r-53246224,TRUNG,Đã mua tại DMX,Tốt,Đã dùng khoảng 1 tháng
iPhone 14 Pro Max,r-53246213,LAN,Đã mua tại DMX,Ok ah,Đã dùng khoảng 4 tuần
iPhone 14 Pro Max,r-53245546,LONG,Đã mua tại TGDD,Tốt,Đã dùng khoảng 1 tháng
iPhone 14 Pro Max,r-53245252,AN,Đã mua tại DMX,Tốt hơn mong đợi,Đã dùng khoảng 1 tháng
iPhone 14 Pro Max,r-53245251,TRUNG,Đã mua tại TGDD,Tốt,Đã dùng khoảng 1 tháng
iPhone 14 Pro Max,r-53245208,ANH,Đã mua tại TGDD,Vẫn cố lỗi,Đã dùng khoảng 2 tuần
iPhone 14 Pro Max,r-53245176,AN,Đã mua tại TGDD,Rất tốt,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53065029,Ngô Tài,Đã mua tại TGDD,Hơ hơ đẳng con nhà bà cấp.,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53001905,TIẾN,Đã mua tại DMX,Mới sử dụng thấy ok,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-52990711,HÙNG,Đã mua tại TGDD,"Điện thoại chạy mượt, máy ảnh tốt",Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-52979823,ANH,Đã mua tại TGDD,mới dùng thì cảm nhận cũng tốt nhưng k biết về sau có vấn đề gì sảy ra hay k,Đã dùng khoảng 2 tuần
iPhone 14 Pro Max,r-53598605,Từ Ngọc Phánh,Đã mua tại TGDD,,Đã dùng khoảng 1 tháng
iPhone 14 Pro Max,r-53290685,THI,Đã mua tại DMX,,Đã dùng khoảng 1 tháng
iPhone 14 Pro Max,r-53275412,HUY,Đã mua tại DMX,,Đã dùng khoảng 3 tuần
iPhone 14 Pro Max,r-53245216,NHÂN,Đã mua tại TGDD,,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53245181,LAN,Đã mua tại TGDD,,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53002409,VINH,Đã mua tại DMX,,Đã dùng khoảng 1 tháng
iPhone 14 Pro Max,r-53589153,Nguyen Phuong,Đã mua tại TGDD,"Tính năng rất tốt, nhân viên bán hàng rất tốt tư vấn nhiệt tình, chỉ bị lỗi camera đo nhà sản xuất không kỹ để dính bụi trong kính phải gửi bảo hành mất khá nhiều thời gian, bỏ ra số tiền khá lớn mà sd được vài ngày là phải gửi đi bảo hành tận tới 30 ngày mới trả kết quả",Đã dùng khoảng 3 tháng
iPhone 14 Pro Max,r-53572241,Uyên Nhi,Đã mua tại TGDD,"Điện thoại mới mua đc 1 tháng mà giờ lướt fb thôi cũng nóng máy kinh khủng , là bth không ạ ??",Đã dùng khoảng 2 tuần
iPhone 14 Pro Max,r-53569295,QUANG,Đã mua tại TGDD,"Sao mới mua mà pin chỉ còn 99% thôi vậy mới chưa đầy 3 tháng , mua lúc 15/10/2022",Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53542652,Thảo,Đã mua tại TGDD,"Sao mình quay clip cam trước lúc mờ lúc rõ, như là kiểu lấy nét không được ạ",Đã dùng khoảng 3 ngày
iPhone 14 Pro Max,r-53481949,Hồ Minh Tài,Đã mua tại TGDD,Tất cả đều ok chỉ có pin quá tệ sài tuột như thắng không phanh moi người nên cân nhắt lai khi mua,Đã dùng khoảng 1 tháng
iPhone 14 Pro Max,r-53391214,Hoang Mr.Cuong,Đã mua tại DMX,"có ai gặp trường hợp chất lượng hình ảnh video mờ tịt khi gọi zalo, mesaenger kg? trường hợp quay video khi di chuyển thì hình ảnh kg dc mượt nữa. chán tệ",Đã dùng khoảng 3 tuần
iPhone 14 Pro Max,r-53353981,Nguyễn Văn Sơn,Đã mua tại DMX,Có ai sài mà mới được 2 tháng đã tụt % pin xuống còn 99% không . Mình chưa từng gặp con iphon nào mới mua được 2 tháng mà đã tụt 1% pin như ip14 promax này Năm ngoái cũng mua iphon13 nhưng phải nửa năm mới chai được 1% pin,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53336721,Quang,Đã mua tại TGDD,Mình muốn cài esim thì làm sao ạ,Đã dùng khoảng 3 tuần
iPhone 14 Pro Max,r-53309519,KỲ,Đã mua tại DMX,"Phím Back trên bên trái 1 số ứng dụng bấm không được rất khó bấm như ứng dụng VssID, và vài ứng dụng có phím back nằm trên quá cao gần như không bấm được rất bựt mình, với mình mua trả góp theo như ban đầu là đóng 6 tháng mỗi tháng 5.598.333, h bên Home Credit thu thêm 403.080 phí chuyển trên mỗi tháng mình không đồng ý và sẽ không chọn gd trả góp này. Mong bên dmx có thể trả khuyến mãi lại cho khách hàng đúng với chương trình mua bằng tiền mặt ,đừng để Home Credit lợi dụng cty và khách hàng của mình xin cảm ơn!",Đã dùng khoảng 1 tháng
iPhone 14 Pro Max,r-53245219,DUNG,Đã mua tại DMX,Phần cài đặt hình nền lướt chọn ảnh hình nền liên tục bị không tải được ảnh phải Thoát ra bấm lại Bất tiện và không biết có cần mang ra store kiểm tra lại không,Đã dùng khoảng 1 tháng
iPhone 14 Pro Max,r-53245209,PHI,Đã mua tại DMX,Hơi đơ lãnh,Đã dùng khoảng 3 tuần
iPhone 14 Pro Max,r-53245209,PHI,Đã mua tại DMX,Hơi đơ lãnh,Đã dùng khoảng 3 tháng
iPhone 14 Pro Max,r-53245224,NAM,Đã mua tại DMX,,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53614283,Liên Đinh,Đã mua tại TGDD,"Máy pin yếu, hay bị nóng máy khi đang sử dụng",Đã dùng khoảng 1 tuần
