Id_comment,Name_phone,Name_comment,Buy_place_comment,Content_comment,Used_comment,label
r-53378321,iPhone 14 Pro Max,- Trần Thanh Nga,Đã mua tại TGDD,Quá xịn. Nhân viên nhiệt tình. Giá tốt,Đã dùng khoảng 7 ngày,1
r-53366423,iPhone 14 Pro Max,Nguyễn Trung Hậu,Đã mua tại TGDD,"Máy đẹp, đặt màu trắng nên nhận hàng từ 20/10 rồi :))",Đã dùng khoảng 1 tuần,1
r-53364577,iPhone 14 Pro Max,Lê Anh Tú,Đã mua tại TGDD,"Ngoài cái nặng và cầm cấn tay ra không có gì phải chê nhất là pin, dù dùng 2 sim nhưng 1 ngày ko hết nổi kể cả 4g",Đã dùng khoảng 1 tuần,1
r-53327079,iPhone 14 Pro Max,Làu Chăn Hầu,Đã mua tại TGDD,rất tốt,Đã dùng khoảng 1 tuần,1
r-53315285,iPhone 14 Pro Max,CÔNG,Đã mua tại TGDD,Tôi rất hài lòng,Đã dùng khoảng 2 tháng,1
r-53315281,iPhone 14 Pro Max,NGOC,Đã mua tại DMX,Tuyệt vời,Đã dùng khoảng 3 tuần,1
r-53315212,iPhone 14 Pro Max,TÂM,Đã mua tại DMX,Sp tuyệt vời,Đã dùng khoảng 1 tuần,1
r-53283836,iPhone 14 Pro Max,TÚ,Đã mua tại DMX,"máy đẹp, màu tím rất ưng. giá mua được km nhiều . rất hài lòng",Đã dùng khoảng 2 tháng,1
r-53282823,iPhone 14 Pro Max,Hồ Văn Dũng,Đã mua tại DMX,Ok,Đã dùng khoảng 1 tháng,1
r-53280003,iPhone 14 Pro Max,THO,Đã mua tại DMX,Bền đẹp đầm chắc mượt xôi thịt ngon,Đã dùng khoảng 1 tháng,1
r-53256759,iPhone 14 Pro Max,Linh,Đã mua tại DMX,san phẩm tốt.cấu hỉnh đỉnh chóp,Đã dùng khoảng 1 tháng,1
r-53256703,iPhone 14 Pro Max,TOAN,Đã mua tại DMX,Rất tốt,Đã dùng khoảng 3 tuần,1
r-53249295,iPhone 14 Pro Max,PHUC,Đã mua tại TGDD,Máy tốt,Đã dùng khoảng 1 tháng,1
r-53247700,iPhone 14 Pro Max,THANH,Đã mua tại TGDD,Máy sử dụng ok,Đã dùng khoảng 1 tuần,1
r-53247652,iPhone 14 Pro Max,TH O,Đã mua tại TGDD,"Cám ơn TGDĐ đã cho tôi được hưởng suất mua ưu đãi, nhờ vậy tôi mới có thể trải nghiệm iphone14 tuyệt vời như vậy.",Đã dùng khoảng 1 tháng,1
r-53246950,iPhone 14 Pro Max,MINH,Đã mua tại TGDD,Tuyệt vời,Đã dùng khoảng 1 tháng,1
r-53246711,iPhone 14 Pro Max,DUY,Đã mua tại TGDD,Oke,Đã dùng khoảng 1 tuần,1
r-53246531,iPhone 14 Pro Max,LINH,Đã mua tại TGDD,Ok,Đã dùng khoảng 1 tháng,1
r-53246344,iPhone 14 Pro Max,ROY,Đã mua tại DMX,mới toanh,Đã dùng khoảng 3 tuần,1
r-53246141,iPhone 14 Pro Max,ANH,Đã mua tại DMX,Tốt,Đã dùng khoảng 3 tuần,1
r-53246083,iPhone 14 Pro Max,CUONG,Đã mua tại TGDD,"Tốt lắm,nhiệt tình",Đã dùng khoảng 2 tuần,1
r-53246010,iPhone 14 Pro Max,LAN,Đã mua tại DMX,"Tôi rất thích cách phục vụ của bạn,thân thiện vui vẻ nhiệt tình",Đã dùng khoảng 1 tháng,1
r-53245774,iPhone 14 Pro Max,SUA,Đã mua tại TGDD,Quá tuyệt vời.nv phục vụ rất tốt chu đáo.aex ủng hộ tiếp,Đã dùng khoảng 2 tuần,1
r-53245754,iPhone 14 Pro Max,NAM,Đã mua tại DMX,"Sản phẩm tốt,giao hàng nhanh",Đã dùng khoảng 2 tuần,1
r-53245689,iPhone 14 Pro Max,MANH,Đã mua tại DMX,Ok,Đã dùng khoảng 1 tháng,1
r-53245584,iPhone 14 Pro Max,HUY,Đã mua tại DMX,Rất tốt,Đã dùng khoảng 1 tháng,1
r-53245466,iPhone 14 Pro Max,MI,Đã mua tại DMX,Hài lòng ❤️,Đã dùng khoảng 1 tháng,1
r-53245422,iPhone 14 Pro Max,MINH,Đã mua tại TGDD,Tốt,Đã dùng khoảng 1 tháng,1
r-53245398,iPhone 14 Pro Max,AN,Đã mua tại TGDD,ngon,Đã dùng khoảng 1 tháng,1
r-53245284,iPhone 14 Pro Max,PHONG,Đã mua tại DMX,Rất tốt,Đã dùng khoảng 1 tuần,1
r-53245270,iPhone 14 Pro Max,ANH,Đã mua tại DMX,Sản phẩm đẹp- mượt,Đã dùng khoảng 1 tháng,1
r-53245253,iPhone 14 Pro Max,GIANG,Đã mua tại TGDD,iPhone 14 pro max rất tốt,Đã dùng khoảng 2 tuần,1
r-53245245,iPhone 14 Pro Max,MAITHICO,Đã mua tại DMX,Máy tốt,Đã dùng khoảng 1 tháng,1
r-53245244,iPhone 14 Pro Max,GIANG,Đã mua tại TGDD,Máy đẹp,Đã dùng khoảng 1 tháng,1
r-53245222,iPhone 14 Pro Max,AN,Đã mua tại DMX,Hàng tốt,Đã dùng khoảng 1 tháng,1
r-53245221,iPhone 14 Pro Max,DUC,Đã mua tại TGDD,dùng được,Đã dùng khoảng 1 tháng,1
r-53245220,iPhone 14 Pro Max,Nguyên Béo,Đã mua tại DMX,Sp oki. Dùng mượt. Cám ơn TGDD hỗ trợ cho nhận sớm.,Đã dùng khoảng 3 tuần,1
r-53245218,iPhone 14 Pro Max,KHA,Đã mua tại DMX,Rất tốt,Đã dùng khoảng 1 tháng,1
r-53245212,iPhone 14 Pro Max,HOME,Đã mua tại TGDD,Good,Đã dùng khoảng 3 tuần,1
r-53245210,iPhone 14 Pro Max,LINH,Đã mua tại TGDD,Chinh tư vấn rất tốt,Đã dùng khoảng 1 tháng,1
r-53245206,iPhone 14 Pro Max,MAI,Đã mua tại TGDD,"Máy chất lượng, giá tốt, bảo hành ok",Đã dùng khoảng 2 tuần,1
r-53245202,iPhone 14 Pro Max,HUYÊN,Đã mua tại TGDD,Rất tuyệt,Đã dùng khoảng 2 tuần,1
r-53245199,iPhone 14 Pro Max,MAI,Đã mua tại DMX,Tốt nv nhiệt tình,Đã dùng khoảng 3 tuần,1
r-53245198,iPhone 14 Pro Max,MINH,Đã mua tại DMX,sản phẩm tốt .,Đã dùng khoảng 1 tháng,1
r-53245182,iPhone 14 Pro Max,LUAN,Đã mua tại TGDD,So dùng rất oke.máy ngon,Đã dùng khoảng 3 tuần,1
r-53245180,iPhone 14 Pro Max,ĐÀO,Đã mua tại DMX,Ok,Đã dùng khoảng 1 tuần,1
r-53245166,iPhone 14 Pro Max,MINH,Đã mua tại DMX,Tốt,Đã dùng khoảng 1 tháng,1
r-53202051,iPhone 14 Pro Max,NA,Đã mua tại DMX,Sản phẩm tốt nhân viên nhiệt tình,Đã dùng khoảng 1 tháng,1
r-53197257,iPhone 14 Pro Max,Nguyễn Phúc Thịnh,Đã mua tại TGDD,Máy nghe gọi tốt !,Đã dùng khoảng 1 tuần,1
r-53177758,iPhone 14 Pro Max,Phạm Hữu Tuyền,Đã mua tại DMX,Máy đẹp,Đã dùng khoảng 2 tuần,1
r-53150638,iPhone 14 Pro Max,HUY,Đã mua tại TGDD,Máy sử dụng rất tốt,Đã dùng khoảng 1 ngày,1
r-53111218,iPhone 14 Pro Max,Đặng Trung Nghĩa,Đã mua tại TGDD,"Màu chỉ đẹp khi đủ sáng, mình thấy màu vàng vẫn đẹp so màu tím Hiệu năng thì tốt. Đi kèm 3 viên trân châu bao nữa thì tuyệt với.",Đã dùng khoảng 1 ngày,1
r-53099545,iPhone 14 Pro Max,Châu Vân,Đã mua tại TGDD,"Cảm ơn Nhân viên TGDD hổ trợ rất nhiệt tình. Mình đã mua được iPhone 14 Promax với sự hổ trợ nhiệt tình của bên cửa hàng 98 Hùng Vương, Tân An, Long An❤️",Đã dùng khoảng 1 tuần,1
r-53087794,iPhone 14 Pro Max,Ngô Đức Hải Bình,Đã mua tại TGDD,Tôi đã mua ở tgdd hơn 10 năm. Nói về CSKH của tgdd thì khỏi phải bàn. Rất tuyệt,Đã dùng khoảng 1 tuần,1
r-53040933,iPhone 14 Pro Max,NAM,Đã mua tại TGDD,Tốt,Đã dùng khoảng 1 tuần,1
r-53040899,iPhone 14 Pro Max,LUẬT,Đã mua tại TGDD,Sản phẩm tốt đáng để mua,Đã dùng khoảng 3 tuần,1
r-53040815,iPhone 14 Pro Max,CHINH,Đã mua tại TGDD,Very Good,Đã dùng khoảng 2 tuần,1
r-53023147,iPhone 14 Pro Max,PHÚC,Đã mua tại DMX,Ok duyệt,Đã dùng khoảng 1 tuần,1
r-53007557,iPhone 14 Pro Max,HAI,Đã mua tại TGDD,rất hài lòng,Đã dùng khoảng 1 tuần,1
r-53007264,iPhone 14 Pro Max,KHẢI,Đã mua tại DMX,Camera rất xịnn,Đã dùng khoảng 1 tuần,1
r-53003305,iPhone 14 Pro Max,NHẤT,Đã mua tại DMX,OK,Đã dùng khoảng 1 tuần,1
r-53003124,iPhone 14 Pro Max,BÌNH,Đã mua tại DMX,Oke,Đã dùng khoảng 1 tuần,1
r-53002701,iPhone 14 Pro Max,DƯƠNG,Đã mua tại DMX,"Ảnh chụp siêu đẹp, trải nghiệm tốt xứng đáng 10đ",Đã dùng khoảng 1 tuần,1
r-53002514,iPhone 14 Pro Max,VŨ,Đã mua tại TGDD,Ok,Đã dùng khoảng 1 tuần,1
r-53002140,iPhone 14 Pro Max,TUẤN,Đã mua tại DMX,Tốt,Đã dùng khoảng 1 tuần,1
r-53002136,iPhone 14 Pro Max,DUNG,Đã mua tại TGDD,Rất tốt,Đã dùng khoảng 1 tuần,1
r-53002132,iPhone 14 Pro Max,BỬU,Đã mua tại TGDD,Rất ok,Đã dùng khoảng 1 tuần,1
r-53001958,iPhone 14 Pro Max,TUYẾT,Đã mua tại DMX,Rất tốt,Đã dùng khoảng 1 tuần,1
r-53001814,iPhone 14 Pro Max,CHI,Đã mua tại DMX,"Siêu phẩm nhà Táo xịn xò, giao Pre nhanh, giá ngon",Đã dùng khoảng 1 tuần,1
r-53001782,iPhone 14 Pro Max,LẠC,Đã mua tại DMX,Tốt,Đã dùng khoảng 1 tuần,1
r-53001772,iPhone 14 Pro Max,SANG,Đã mua tại TGDD,Quá ok,Đã dùng khoảng 1 tuần,1
r-53001767,iPhone 14 Pro Max,THY,Đã mua tại TGDD,Máy tốt. Nhân viên nhiệt tình,Đã dùng khoảng 1 tuần,1
r-53001736,iPhone 14 Pro Max,GIANG,Đã mua tại TGDD,Cskh rất tốt,Đã dùng khoảng 1 tuần,1
r-53001731,iPhone 14 Pro Max,PHUONG,Đã mua tại TGDD,Ok,Đã dùng khoảng 1 tuần,1
r-52977778,iPhone 14 Pro Max,CƯỜNG,Đã mua tại DMX,Phục vụ rất tốt,Đã dùng khoảng 2 tuần,1
r-52975837,iPhone 14 Pro Max,VINA,Đã mua tại TGDD,Rất hài lòng,Đã dùng khoảng 1 tuần,1
r-52968923,iPhone 14 Pro Max,HUY,Đã mua tại TGDD,Rất tốt !!!,Đã dùng khoảng 3 tháng,1
r-53248444,iPhone 14 Pro Max,HÙNG,Đã mua tại TGDD,Tốt,Đã dùng khoảng 3 tuần,1
r-53247249,iPhone 14 Pro Max,VINA,Đã mua tại TGDD,Rt,Đã dùng khoảng 2 tuần,2
r-53002348,iPhone 14 Pro Max,OANH,Đã mua tại TGDD,Nhân viên tư vấn nhiệt tình v sản phẩm rất tốt,Đã dùng khoảng 1 tuần,1
r-53632746,iPhone 14 Pro Max,Trần Thị Vy,Đã mua tại DMX,"Máy sử dụng tốt,tốt nhất trong các loại máy chị sứ dụng . Chị cảm thấy rất hài lòng .",Đã dùng khoảng 1 ngày,1
r-53569541,iPhone 14 Pro Max,Nguyễn Mạnh Dương,Đã mua tại TGDD,"Pin trâu, máy mát",Đã dùng khoảng 1 tuần,1
r-53561650,iPhone 14 Pro Max,Đức Vũ,Đã mua tại TGDD,"máy ok, chăm sóc tốt. sẽ còn mua hàng.",Đã dùng khoảng 1 ngày,1
r-53529347,iPhone 14 Pro Max,Anh Dương,Đã mua tại TGDD,Good,Đã dùng khoảng 1 tháng,1
r-53480747,iPhone 14 Pro Max,Văn,Đã mua tại TGDD,cay quá nay nhận sáng ngày hôm sau giảm luôn 1tr,Đã dùng khoảng 1 tháng,2
r-53340683,iPhone 14 Pro Max,PLUS,Đã mua tại DMX,Dùng ok. Rat thích,Đã dùng khoảng 3 tuần,1
r-53315557,iPhone 14 Pro Max,KHA,Đã mua tại TGDD,Dùng ok,Đã dùng khoảng 1 tháng,1
r-53270418,iPhone 14 Pro Max,HONG,Đã mua tại DMX,Oke,Đã dùng khoảng 1 tháng,1
r-53247039,iPhone 14 Pro Max,ANH,Đã mua tại DMX,Dùng cũng dc,Đã dùng khoảng 1 tháng,1
r-53246884,iPhone 14 Pro Max,TÙNG,Đã mua tại TGDD,Tốt,Đã dùng khoảng 1 tháng,1
r-53246224,iPhone 14 Pro Max,TRUNG,Đã mua tại DMX,Tốt,Đã dùng khoảng 1 tháng,1
r-53246213,iPhone 14 Pro Max,LAN,Đã mua tại DMX,Ok ah,Đã dùng khoảng 4 tuần,1
r-53245546,iPhone 14 Pro Max,LONG,Đã mua tại TGDD,Tốt,Đã dùng khoảng 1 tháng,1
r-53245252,iPhone 14 Pro Max,AN,Đã mua tại DMX,Tốt hơn mong đợi,Đã dùng khoảng 1 tháng,1
r-53245251,iPhone 14 Pro Max,TRUNG,Đã mua tại TGDD,Tốt,Đã dùng khoảng 1 tháng,1
r-53245208,iPhone 14 Pro Max,ANH,Đã mua tại TGDD,Vẫn cố lỗi,Đã dùng khoảng 2 tuần,0
r-53245176,iPhone 14 Pro Max,AN,Đã mua tại TGDD,Rất tốt,Đã dùng khoảng 1 tuần,1
r-53065029,iPhone 14 Pro Max,Ngô Tài,Đã mua tại TGDD,Hơ hơ đẳng con nhà bà cấp.,Đã dùng khoảng 1 tuần,1
r-53001905,iPhone 14 Pro Max,TIẾN,Đã mua tại DMX,Mới sử dụng thấy ok,Đã dùng khoảng 1 tuần,1
r-52990711,iPhone 14 Pro Max,HÙNG,Đã mua tại TGDD,"Điện thoại chạy mượt, máy ảnh tốt",Đã dùng khoảng 1 tuần,1
r-52979823,iPhone 14 Pro Max,ANH,Đã mua tại TGDD,mới dùng thì cảm nhận cũng tốt nhưng k biết về sau có vấn đề gì sảy ra hay k,Đã dùng khoảng 2 tuần,1
r-53589153,iPhone 14 Pro Max,Nguyen Phuong,Đã mua tại TGDD,"Tính năng rất tốt, nhân viên bán hàng rất tốt tư vấn nhiệt tình, chỉ bị lỗi camera đo nhà sản xuất không kỹ để dính bụi trong kính phải gửi bảo hành mất khá nhiều thời gian, bỏ ra số tiền khá lớn mà sd được vài ngày là phải gửi đi bảo hành tận tới 30 ngày mới trả kết quả",Đã dùng khoảng 3 tháng,2
r-53572241,iPhone 14 Pro Max,Uyên Nhi,Đã mua tại TGDD,"Điện thoại mới mua đc 1 tháng mà giờ lướt fb thôi cũng nóng máy kinh khủng , là bth không ạ ??",Đã dùng khoảng 2 tuần,0
r-53569295,iPhone 14 Pro Max,QUANG,Đã mua tại TGDD,"Sao mới mua mà pin chỉ còn 99% thôi vậy mới chưa đầy 3 tháng , mua lúc 15/10/2022",Đã dùng khoảng 1 tuần,0
r-53542652,iPhone 14 Pro Max,Thảo,Đã mua tại TGDD,"Sao mình quay clip cam trước lúc mờ lúc rõ, như là kiểu lấy nét không được ạ",Đã dùng khoảng 3 ngày,0
r-53481949,iPhone 14 Pro Max,Hồ Minh Tài,Đã mua tại TGDD,Tất cả đều ok chỉ có pin quá tệ sài tuột như thắng không phanh moi người nên cân nhắt lai khi mua,Đã dùng khoảng 1 tháng,0
r-53391214,iPhone 14 Pro Max,Hoang Mr.Cuong,Đã mua tại DMX,"có ai gặp trường hợp chất lượng hình ảnh video mờ tịt khi gọi zalo, mesaenger kg? trường hợp quay video khi di chuyển thì hình ảnh kg dc mượt nữa. chán tệ",Đã dùng khoảng 3 tuần,0
r-53353981,iPhone 14 Pro Max,Nguyễn Văn Sơn,Đã mua tại DMX,Có ai sài mà mới được 2 tháng đã tụt % pin xuống còn 99% không . Mình chưa từng gặp con iphon nào mới mua được 2 tháng mà đã tụt 1% pin như ip14 promax này Năm ngoái cũng mua iphon13 nhưng phải nửa năm mới chai được 1% pin,Đã dùng khoảng 1 tuần,0
r-53336721,iPhone 14 Pro Max,Quang,Đã mua tại TGDD,Mình muốn cài esim thì làm sao ạ,Đã dùng khoảng 3 tuần,2
r-53309519,iPhone 14 Pro Max,KỲ,Đã mua tại DMX,"Phím Back trên bên trái 1 số ứng dụng bấm không được rất khó bấm như ứng dụng VssID, và vài ứng dụng có phím back nằm trên quá cao gần như không bấm được rất bựt mình, với mình mua trả góp theo như ban đầu là đóng 6 tháng mỗi tháng 5.598.333, h bên Home Credit thu thêm 403.080 phí chuyển trên mỗi tháng mình không đồng ý và sẽ không chọn gd trả góp này. Mong bên dmx có thể trả khuyến mãi lại cho khách hàng đúng với chương trình mua bằng tiền mặt ,đừng để Home Credit lợi dụng cty và khách hàng của mình xin cảm ơn!",Đã dùng khoảng 1 tháng,0
r-53245219,iPhone 14 Pro Max,DUNG,Đã mua tại DMX,Phần cài đặt hình nền lướt chọn ảnh hình nền liên tục bị không tải được ảnh phải Thoát ra bấm lại Bất tiện và không biết có cần mang ra store kiểm tra lại không,Đã dùng khoảng 1 tháng,0
r-53245209,iPhone 14 Pro Max,PHI,Đã mua tại DMX,Hơi đơ lãnh,Đã dùng khoảng 3 tuần,0
r-53245209,iPhone 14 Pro Max,PHI,Đã mua tại DMX,Hơi đơ lãnh,Đã dùng khoảng 3 tuần,0
r-53245209,iPhone 14 Pro Max,PHI,Đã mua tại DMX,Hơi đơ lãnh,Đã dùng khoảng 3 tháng,0
r-53245209,iPhone 14 Pro Max,PHI,Đã mua tại DMX,Hơi đơ lãnh,Đã dùng khoảng 3 tháng,0
r-53614283,iPhone 14 Pro Max,Liên Đinh,Đã mua tại TGDD,"Máy pin yếu, hay bị nóng máy khi đang sử dụng",Đã dùng khoảng 1 tuần,0
r-53566453,iPhone 14 Pro Max,Trịnh Đức Sơn,Đã mua tại TGDD,"Mua hôm trước 32,5tr. Hai hôm sau còn 30,5tr. Như kiểu mất tiền oan. Trong khi với số tiền đó 2 hôm sau mua đc bản dung lượng cao hơn. Dùng đc 8 hôm thì chết rung, máy ko rung đc, may đi bảo hành đc đổi máy mới. Rút kinh nghiệm ko mua sớm làm gì.",Đã dùng khoảng 2 tuần,0
r-53434757,iPhone 14 Pro Max,Chị Hoài,Đã mua tại DMX,Máy dùng nhanh hết pin,Đã dùng khoảng 2 tuần,0
r-53405979,iPhone 14 Pro Max,Quỳnh,Đã mua tại DMX,"Máy dùng nhanh hết pin, mới mua được nửa tháng mở màn hình khoá lên bị sọc ngang mất 1 giây nhanh đến mức k kịp nhìn Bỏ 34tr9 mua k bằng con xs max cũ 2 năm trước mình mua lại 10tr",Đã dùng khoảng 2 tuần,0
r-53401049,iPhone 14 Pro Max,Anh Cường,Đã mua tại TGDD,"k bằng iphone 13,gọi video bi nhoè hình ảnh",Đã dùng khoảng 1 tuần,0
r-52971274,iPhone 14 Pro Max,HÙNG,Đã mua tại DMX,Máy hao pin nhanh hết hơn 13 promax,Đã dùng khoảng 1 tuần,0
r-53572760,Samsung Galaxy Z Flip4 5G,Đinh Ngọc Sơn,Đã mua tại TGDD,Máy ok nv bán hàng chu đáo phục vụ khách,Đã dùng khoảng 1 tuần,1
r-53526524,Samsung Galaxy Z Flip4 5G,Trương Thu Hà,Đã mua tại DMX,"Máy xinh, nhân viên nhiệt tình 5 sao an",Đã dùng khoảng 1 tuần,1
r-53513046,Samsung Galaxy Z Flip4 5G,Trân Quoc Toan,Đã mua tại TGDD,"Moi mua nghe pin nhanh het,ai ngo pin rât trâu hên gê",Đã dùng khoảng 1 ngày,1
r-52938234,Samsung Galaxy Z Flip4 5G,TÙNG,Đã mua tại TGDD,Tôi muốn đặt thêm hai mấy. Có tặng đồng hồ,Đã dùng khoảng 1 tuần,1
r-52928696,Samsung Galaxy Z Flip4 5G,Nhân,Đã mua tại TGDD,Khá tốt nhưng bản lề hơi cứng,Đã dùng khoảng 1 tháng,2
r-52909160,Samsung Galaxy Z Flip4 5G,TRẦN THỊ THANH THÚY,Đã mua tại DMX,Rất tot,Đã dùng khoảng 1 tuần,1
r-52906652,Samsung Galaxy Z Flip4 5G,TRANG,Đã mua tại TGDD,Rất tốt,Đã dùng khoảng 7 ngày,1
r-52780951,Samsung Galaxy Z Flip4 5G,Nguyễn Như Ân,Đã mua tại TGDD,Sản phẩm tốt . Bạn nhân viên tên Kha hỗ trợ nhiệt tình,Đã dùng khoảng 1 tuần,1
r-52698382,Samsung Galaxy Z Flip4 5G,Lê Thị Thúy Kiều,Đã mua tại TGDD,"Mình dùng bản 128GB. MÀU Đẹp, thiết kế sang, lạ, độc đáo. Pin đủ dùng 24 tiếng. Đối với mình như vậy là quá tốt rồi.",Đã dùng khoảng 1 tuần,1
r-52616752,Samsung Galaxy Z Flip4 5G,MINH,Đã mua tại TGDD,Dùng sướng. Lên đời từ zflip3 thấy đáng đồng tiền lắm,Đã dùng khoảng 3 tuần,1
